,N,Mean,Std,Min,P25,Median,P75,Max
STMT,274,-0.0,0.0368,-0.2644,-0.0104,0.0046,0.0159,0.0901
MP1,274,-0.0104,0.068,-0.465,-0.0084,0.0,0.005,0.1633
MP2,274,-0.0078,0.0471,-0.3898,-0.01,0.0,0.0081,0.151
d_CAD,270,-0.0611,0.5235,-5.0716,-0.2686,-0.0284,0.1355,1.8358
d_JPY,270,0.0146,0.5852,-2.5443,-0.2735,0.0584,0.3523,1.8638
d_MXN,270,-0.0265,1.2211,-5.4736,-0.4283,-0.1011,0.1863,13.0657
d_NOK,270,-0.0888,0.6881,-3.3762,-0.3839,-0.0299,0.3266,1.554
d_CHF,270,-0.0593,0.559,-3.2291,-0.3114,0.0095,0.2497,1.253
d_AUD,270,-0.0457,0.9056,-6.6666,-0.4289,-0.0884,0.2594,7.5687
d_EUR,229,-0.0886,0.467,-2.9615,-0.238,-0.0429,0.13,1.2447
d_GBP,270,-0.0707,0.5476,-4.4349,-0.3464,-0.0485,0.2076,2.1606
d_UST_2Y,272,-0.8162,7.4499,-28.0,-4.25,0.0,3.0,27.0
d_UST_5Y,272,-0.9743,8.3416,-46.0,-6.0,0.0,3.0,25.0
d_UST_10Y,272,-0.7096,7.3087,-51.0,-4.0,0.0,3.0,22.0
d_BE_5Y,194,0.2113,4.897,-20.0,-2.0,1.0,2.0,29.0
d_BE_10Y,194,0.2371,3.7188,-15.0,-2.0,0.0,2.0,11.0
