asset,beta,se,tstat,pval,const,N,R2,asset_class,stars
UST 2Y,1.0576484561578565,0.17199852516886147,6.149171657835429,2.792174713661666e-09,-0.8477399307711422,272,0.2702455698304159,Treasury,***
UST 5Y,0.9025959791548857,0.1767124694434691,5.107709614366682,6.170290425266955e-07,-1.0012009265929647,272,0.15698762952366163,Treasury,***
UST 10Y,0.5070763153339146,0.14596192285398094,3.4740314831368004,0.0005970442431557643,-0.7246915294824642,272,0.0645421632764972,Treasury,***
BE 5Y,-0.41987711191562405,0.2621272784154765,-1.6018062463919196,0.11084241679133511,0.3556705107526777,194,0.060114220308954414,Breakeven,
BE 10Y,-0.26044485726345196,0.10820203895819934,-2.407023562319996,0.017030210670791135,0.3266398003936737,194,0.04010749223831833,Breakeven,**
EUR,0.00559943704557824,0.008141155524438155,0.6877938922515147,0.4922847660475833,-0.08896331121860723,229,0.0018493578873213234,FX,
GBP,0.0024860852640561826,0.008045565141361762,0.3090007004325115,0.7575610746816965,-0.07083685604919163,270,0.00026986474922774395,FX,
JPY,0.0161614980097801,0.010395339811410845,1.5546868407360586,0.12120075436456856,0.013393094586094065,270,0.009985393424137068,FX,
CHF,0.015275226071284889,0.010705867635655498,1.4268087922562493,0.15479898371646494,-0.06043092153751253,270,0.009775835761248741,FX,
AUD,-0.0004499358411802732,0.017151372716579533,-0.02623322626213694,0.9790908370962621,-0.04565843509361267,270,3.2319768854538466e-06,FX,
CAD,0.00813230086274837,0.011878015653516746,0.684651468727491,0.49415554001423345,-0.06172583551759748,270,0.0031596892214272865,FX,
MXN,-0.008063685647549154,0.01773487243065644,-0.4546796532694701,0.6497077894634464,-0.02594362042085033,270,0.0005709678582849209,FX,
NOK,0.005120902312824238,0.010738530665273345,0.4768717874396355,0.6338420277477974,-0.0892330201271789,270,0.0007252929958077026,FX,
